Team,Player,P,H/C,Rookie,Nat,School,GP,SOG,KSt,GS,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,PSG,EN,OTG,SOW,Pts/GP,P1/GP,SOG/GP,KSt/GP,GS/GP,5v5 GF%,FO%,PenT,PenD,PIM,FOW,FOL,BkS,GvA,TkA,Sh%,5v5 GF,5v5 GA,DIFF,PenDiff,Player
BUF,Iveta Klimasova,F,R,*,SVK,[Slovakia],24,66,95,18.11,3,15,9,18,12,2,11,7,13,9,1,4,2,5,3,,,,0,0,,,,,0.75,0.50,2.75,3.96,0.75,39.53,30.77,20,13,43,4,9,15,15,15,0.05,17,26,-9,-7,Iveta Klimasova
BOS,Kaleigh Fratkin,D,R,,CAN,Boston University,24,68,112,21.94,3,20,7,23,10,2,15,5,17,7,1,4,1,5,2,,1,1,1,1,,,,,0.96,0.42,2.83,4.67,0.91,78.85,100.00,19,6,38,1,,20,10,18,0.04,41,11,30,-13,Kaleigh Fratkin
CTW,Shannon Doyle,D,R,,CAN,Boston University,24,65,95,12.46,2,9,3,11,5,1,8,2,9,3,1,1,1,2,2,,,,0,0,,,,,0.46,0.21,2.71,3.96,0.52,35.90,#DIV/0!,18,17,36,,,62,27,17,0.03,14,25,-11,-1,Shannon Doyle
MET,Madison Packer,F,R,,USA,Wisconsin,24,93,113,35.69,13,21,16,34,29,8,19,15,27,23,5,2,1,7,6,,,,0,0,,1,,,1.42,1.21,3.88,4.71,1.49,59.52,30.95,17,18,48,13,29,22,21,28,0.14,25,17,8,1,Madison Packer
MET,Rebecca Morse,D,L,,USA,Providence,24,49,78,11.45,4,7,2,11,6,4,3,1,7,5,,3,1,3,1,,1,,1,0,,,1,,0.46,0.25,2.04,3.25,0.48,42.22,#DIV/0!,17,8,34,,,17,9,13,0.08,19,26,-7,-9,Rebecca Morse
BUF,Meg Delay,D,R,*,CAN,SUNY-Plattsburgh (DIII)/Brock University,16,16,24,4.22,1,5,3,6,4,1,4,2,5,3,,1,1,1,1,,,,0,0,,,,,0.38,0.25,1.00,1.50,0.26,47.62,#DIV/0!,16,4,33,,,13,9,5,0.06,10,11,-1,-12,Meg Delay
BUF,Lenka Curmova,D,L,*,SVK,[Slovakia],23,30,46,9.90,3,8,3,11,6,1,4,3,5,4,2,4,,6,2,,,,0,0,,,,,0.48,0.26,1.30,2.00,0.43,43.90,#DIV/0!,14,4,28,,,23,12,7,0.10,18,23,-5,-10,Lenka Curmova
MET,Cailey Hutchison,F,L,*,USA,Univ. of Maine,24,62,78,14.29,3,8,2,11,5,2,5,1,7,3,1,3,1,4,2,,,,0,0,,1,,,0.46,0.21,2.58,3.25,0.60,36.67,51.34,14,12,28,249,236,8,11,17,0.05,11,19,-8,-2,Cailey Hutchison
BUF,Kim Brown,F,L,*,CAN,Brock University,24,32,44,8.10,4,4,3,8,7,4,4,3,8,7,,,,0,0,,,,0,0,,1,,,0.33,0.29,1.33,1.83,0.34,28.57,46.51,12,8,24,40,46,4,8,14,0.13,10,25,-15,-4,Kim Brown
CTW,Kayla Meneghin,F,R,,USA,SUNY-Plattsburgh (DIII),14,37,42,9.37,4,4,3,8,7,2,3,2,5,4,2,1,1,3,3,,,,0,0,,,,,0.57,0.50,2.64,3.00,0.67,42.86,53.85,12,4,32,7,6,13,12,8,0.11,6,8,-2,-8,Kayla Meneghin
BUF,Sara Bustad,F|D,R,*,USA,Minnesota State U.,23,27,37,8.28,2,9,5,11,7,1,6,2,7,3,1,3,3,4,4,,,,0,0,,,,,0.48,0.30,1.17,1.61,0.36,37.50,26.47,12,4,30,9,25,14,18,4,0.07,18,30,-12,-8,Sara Bustad
MET,Kendall Cornine,F,R,*,USA,RIT,24,115,142,35.71,13,11,5,24,18,9,8,3,17,12,3,2,1,5,4,1,1,1,2,2,,1,,,1.00,0.75,4.79,5.92,1.49,37.50,53.56,11,9,22,301,261,9,26,24,0.11,18,30,-12,-2,Kendall Cornine
BOS,Alyssa Wohlfeiler,F,R,,USA,Northeastern,14,31,45,15.87,5,11,9,16,14,5,9,7,14,12,,2,2,2,2,,,,0,0,,1,,,1.14,1.00,2.21,3.21,1.13,86.36,#DIV/0!,11,5,22,0,0,3,15,8,0.16,19,3,16,-6,Alyssa Wohlfeiler
MET,Brooke Baker,F,L,*,USA,RIT,23,37,41,5.49,3,3,0,6,3,1,2,,3,1,1,1,,2,1,1,,,1,1,,,,,0.26,0.13,1.61,1.78,0.24,24.24,15.00,11,16,22,3,17,13,19,12,0.08,8,25,-17,5,Brooke Baker
BOS,Lauren Kelly,D,L,,USA,Northeastern,23,57,84,13.61,2,10,4,12,6,2,5,2,7,4,,5,2,5,2,,,,0,0,,,,,0.52,0.26,2.48,3.65,0.59,76.67,#DIV/0!,11,15,25,,,22,7,20,0.04,23,7,16,4,Lauren Kelly
BUF,Erin Gehen,F,R,*,USA,Buffalo State College (DIII),24,48,56,16.80,7,9,6,16,13,6,6,5,12,11,1,3,1,4,2,,,,0,0,,,,,0.67,0.54,2.00,2.33,0.70,45.45,25.00,10,14,20,4,12,8,8,11,0.15,15,18,-3,4,Erin Gehen
BUF,Becki Bowering,F,R,*,CAN,Univ. of Toronto,24,27,38,4.02,3,6,2,9,5,3,3,2,6,5,,3,,3,0,,,,0,0,,,,,0.38,0.21,1.13,1.58,0.17,23.08,42.39,10,13,28,117,159,11,10,9,0.11,9,30,-21,3,Becki Bowering
CTW,Grace Klienbach,F,R,,USA,Neumann University (DIII),24,63,73,11.77,1,7,7,8,8,1,7,7,8,8,,,,0,0,,,,0,0,,,,,0.33,0.33,2.63,3.04,0.49,28.95,43.48,10,7,20,10,13,6,14,9,0.02,11,27,-16,-3,Grace Klienbach
BUF,Richelle Skarbowski,D,R,*,USA,New England/SUNY-Cortland (DIII),24,6,13,-0.24,0,1,0,1,0,,1,,1,0,,,,0,0,,,,0,0,,,,,0.04,0.00,0.25,0.54,-0.01,25.71,#DIV/0!,10,3,20,,,18,5,1,0.00,9,26,-17,-7,Richelle Skarbowski
MET,Kate Leary,F,R,*,USA,Boston College,22,94,105,33.25,16,11,9,27,25,13,8,7,21,20,3,3,2,6,5,,,,0,0,,1,,,1.23,1.14,4.27,4.77,1.51,56.52,37.50,9,17,18,3,5,10,22,17,0.17,26,20,6,8,Kate Leary
BUF,Corinne Buie,F,R,,USA,Providence,24,68,84,16.37,6,7,4,13,10,4,4,2,8,6,2,3,2,5,4,,,,0,0,,1,,,0.54,0.42,2.83,3.50,0.68,36.59,49.27,9,7,18,202,208,9,9,13,0.09,15,26,-11,-2,Corinne Buie
BOS,Lexi Bender,D,R,,USA,Boston College,24,43,65,13.85,4,9,4,13,8,2,7,3,9,5,2,2,1,4,3,,,,0,0,,,,,0.54,0.33,1.79,2.71,0.58,75.00,#DIV/0!,9,4,18,,,11,9,10,0.09,27,9,18,-5,Lexi Bender
CTW,Hanna Beattie,F|D,L,,USA,Williams College (DIII),22,26,41,7.04,3,3,2,6,5,3,2,1,5,4,,1,1,1,1,,,,0,0,,,,,0.27,0.23,1.18,1.86,0.32,25.81,52.94,9,8,18,27,24,12,15,25,0.12,8,23,-15,-1,Hanna Beattie
MET,Tatiana Shatalova,F,L,*,RUS,[Russia],23,64,80,14.98,2,10,6,12,8,2,7,4,9,6,,3,2,3,2,,,,0,0,,,,1,0.52,0.35,2.78,3.48,0.65,33.33,44.44,9,8,29,4,5,4,17,7,0.03,11,22,-11,-1,Tatiana Shatalova
BUF,Taylor Accursi,F,L,,CAN,Mercyhurst University,24,69,86,27.87,16,9,6,25,22,11,5,3,16,14,5,4,3,9,8,,,,0,0,,,,,1.04,0.92,2.88,3.58,1.16,34.00,34.29,8,13,16,12,23,2,15,8,0.23,17,33,-16,5,Taylor Accursi
BOS,Emily Fluke,F,R,,USA,Middlebury College (DIII),23,49,58,25.97,9,18,9,27,18,8,17,8,25,16,1,1,1,2,2,,,,0,0,,,,,1.17,0.78,2.13,2.52,1.13,87.50,34.78,8,11,16,8,15,10,9,10,0.18,28,4,24,3,Emily Fluke
CTW,Kendra Broad,F,R,*,CAN,Lindenwood Univ,20,30,41,3.69,2,1,0,3,2,1,,,1,1,1,1,,2,1,,,,0,0,,1,,,0.15,0.10,1.50,2.05,0.18,25.00,45.78,8,13,27,38,45,2,9,17,0.07,5,15,-10,5,Kendra Broad
MET,Colleen Murphy,D,R,,USA,Northeastern,24,33,48,7.78,1,6,3,7,4,1,3,1,4,2,,3,2,3,2,,,,0,0,,,,,0.29,0.17,1.38,2.00,0.32,47.50,#DIV/0!,8,5,16,,,15,10,21,0.03,19,21,-2,-3,Colleen Murphy
MIN,Chelsey Brodt Rosenthal,D,R,,USA,Minnesota,22,14,20,2.07,0,3,0,3,0,,2,,2,0,,1,,1,0,,,,0,0,,,,,0.14,0.00,0.64,0.91,0.09,56.00,0.00,8,2,16,,1,11,5,3,0.00,14,11,3,-6,Chelsey Brodt Rosenthal
BOS,McKenna Brand,F,L,,USA,Northeastern,24,138,170,45.52,19,17,12,36,31,18,13,10,31,28,1,4,2,5,3,,,,0,0,,1,,,1.50,1.29,5.75,7.08,1.90,78.43,38.46,7,6,14,5,8,2,13,18,0.14,40,11,29,-1,McKenna Brand
MIN,Meghan Lorence,F,L,*,USA,Minnesota,24,80,94,26.20,10,11,6,21,16,4,7,4,11,8,4,4,2,8,6,2,,,2,2,,,,,0.88,0.67,3.33,3.92,1.09,58.06,63.16,7,8,14,12,7,7,6,15,0.13,18,13,5,1,Meghan Lorence
